price,latitude,longitude,city,operation,surface,rooms,elevator,parking
1650,40.41989,-3.710543,Madrid,rent,70,1,1,0
12000,40.42551,-3.6735945,Madrid,rent,415,4,1,0
1600,40.45884,-3.6807947,Madrid,rent,63,2,1,0
1950,40.42783,-3.6887743,Madrid,rent,70,2,1,0
2300,40.431786,-3.720492,Madrid,rent,73,2,1,0
3800,40.435356,-3.6803951,Madrid,rent,163,3,1,0
3850,40.428036,-3.6998923,Madrid,rent,145,3,1,0
2700,40.431606,-3.6948316,Madrid,rent,96,3,1,0
2200,40.467365,-3.6741362,Madrid,rent,132,2,1,0
2900,40.44362,-3.6974537,Madrid,rent,160,3,1,0
2100,40.486618,-3.6654375,Madrid,rent,135,2,1,0
2400,40.43478,-3.7186882,Madrid,rent,90,2,1,0
5850,40.448208,-3.688331,Madrid,rent,350,4,1,0
2500,40.416355,-3.6735356,Madrid,rent,100,3,1,0
940,40.383953,-3.6460845,Madrid,rent,57,2,1,0
1800,40.47144,-3.708371,Madrid,rent,92,2,1,0
2750,40.417824,-3.7109077,Madrid,rent,150,4,1,0
3000,40.425785,-3.694507,Madrid,rent,110,3,1,0
4900,40.444046,-3.6919541,Madrid,rent,218,3,1,0
1700,40.452145,-3.6727512,Madrid,rent,80,2,1,0
3650,40.452248,-3.696132,Madrid,rent,220,3,1,0
930,40.39578,-3.6628537,Madrid,rent,52,2,1,0
2450,40.465546,-3.7849102,Madrid,rent,153,3,1,0
3500,40.454594,-3.6899812,Madrid,rent,272,5,1,0
1800,40.433033,-3.673362,Madrid,rent,95,4,1,0
1295,40.441147,-3.7008567,Madrid,rent,55,1,1,0
1350,40.457047,-3.7087865,Madrid,rent,48,1,1,0
1500,40.427395,-3.641022,Madrid,rent,36,1,0,0
2200,40.436497,-3.6827607,Madrid,rent,134,1,1,0
1500,40.47671,-3.6987474,Madrid,rent,109,2,1,0
2790,40.46157,-3.6865156,Madrid,rent,150,3,1,0
1100,40.42285,-3.6903472,Madrid,rent,35,0,1,0
920,40.390884,-3.7306888,Madrid,rent,65,1,1,0
790,40.462803,-3.7043464,Madrid,rent,56,1,1,0
900,40.4097,-3.6690216,Madrid,rent,47,1,1,0
1200,40.470444,-3.6686683,Madrid,rent,55,1,1,0
4500,40.463768,-3.6732337,Madrid,rent,200,4,0,0
2500,40.426617,-3.6621196,Madrid,rent,80,2,1,0
3000,40.42883,-3.6767695,Madrid,rent,134,2,1,0
2500,40.42744,-3.7080925,Madrid,rent,111,3,1,0
2500,40.42877,-3.714313,Madrid,rent,160,3,1,0
4200,40.447083,-3.6873872,Madrid,rent,213,4,1,0
2100,40.418037,-3.675533,Madrid,rent,110,3,1,0
4200,40.46652,-3.7280042,Madrid,rent,320,5,0,0
2000,40.44706,-3.7094378,Madrid,rent,107,3,1,0
1200,40.42092,-3.7092557,Madrid,rent,87,4,1,0
950,40.38055,-3.6990132,Madrid,rent,68,2,1,0
1415,40.45453,-3.6561024,Madrid,rent,101,2,1,0
990,40.356865,-3.688699,Madrid,rent,56,3,1,0
900,40.404095,-3.7413254,Madrid,rent,56,2,0,0
2300,40.433865,-3.6662176,Madrid,rent,110,2,0,0
1750,40.420986,-3.6637018,Madrid,rent,110,3,1,0
1650,40.459225,-3.6823475,Madrid,rent,64,1,1,0
1150,40.496593,-3.6892064,Madrid,rent,90,2,0,0
1150,40.49671,-3.689197,Madrid,rent,80,2,0,0
2000,40.429142,-3.7153285,Madrid,rent,71,2,1,0
1740,40.462864,-3.6880193,Madrid,rent,86,2,1,0
3150,40.46314,-3.6852396,Madrid,rent,217,4,1,0
3500,40.421333,-3.6899703,Madrid,rent,90,2,1,0
3200,40.441597,-3.6954222,Madrid,rent,160,3,1,0
1505,40.47789,-3.5789855,Madrid,rent,125,2,0,0
1850,40.450867,-3.5998974,Madrid,rent,175,3,1,0
1215,40.356407,-3.594199,Madrid,rent,80,2,1,0
1800,40.467045,-3.6746943,Madrid,rent,81,1,1,0
1025,40.46345,-3.6460187,Madrid,rent,1,1,0,0
1139,40.384853,-3.6639996,Madrid,rent,1,3,0,0
4500,40.43452,-3.66903,Madrid,rent,185,3,1,0
1250,40.41463,-3.7010293,Madrid,rent,38,0,1,0
1100,40.435486,-3.6741455,Madrid,rent,56,1,1,0
990,40.419247,-3.700008,Madrid,rent,46,1,1,0
1600,40.384747,-3.689,Madrid,rent,96,2,1,0
1900,40.436165,-3.6678882,Madrid,rent,69,2,1,0
1500,40.422264,-3.71866,Madrid,rent,79,3,1,0
2000,40.457726,-3.676694,Madrid,rent,86,2,1,0
1950,40.41679,-3.6951187,Madrid,rent,125,1,1,0
3400,40.43283,-3.7015977,Madrid,rent,90,2,1,0
1250,40.44445,-3.5748644,Madrid,rent,90,2,1,0
2500,40.442623,-3.6716466,Madrid,rent,95,3,1,0
1250,40.393585,-3.7577016,Madrid,rent,86,3,1,0
1475,40.45682,-3.7073808,Madrid,rent,93,3,1,0
1250,40.4094,-3.6931639,Madrid,rent,45,2,1,0
2635,40.472584,-3.686599,Madrid,rent,75,2,1,0
1180,40.41043,-3.6610107,Madrid,rent,70,2,1,0
1700,40.430683,-3.671547,Madrid,rent,92,3,1,0
2750,40.44133,-3.6935177,Madrid,rent,209,4,1,0
1700,40.419697,-3.676684,Madrid,rent,56,2,1,0
820,40.4368,-3.6836834,Madrid,rent,30,1,0,0
1295,40.41803,-3.712893,Madrid,rent,80,0,0,0
1350,40.4309,-3.714919,Madrid,rent,60,2,1,0
900,40.416897,-3.7090325,Madrid,rent,30,1,1,0
1350,40.429867,-3.719179,Madrid,rent,1,2,1,0
850,40.46424,-3.7002475,Madrid,rent,40,0,0,0
2100,40.43974,-3.7149377,Madrid,rent,1,4,0,0
845,40.429447,-3.7051582,Madrid,rent,1,0,0,0
750,40.463615,-3.6995282,Madrid,rent,30,0,0,0
2400,40.422615,-3.6933453,Madrid,rent,120,3,1,0
1200,40.4451,-3.5775654,Madrid,rent,92,2,1,0
1650,40.507454,-3.6935847,Madrid,rent,90,3,1,0
3100,40.42632,-3.6836658,Madrid,rent,90,1,1,0
1400,40.43873,-3.6348479,Madrid,rent,71,3,1,0
1500,40.490326,-3.6507423,Madrid,rent,100,3,1,0
1700,40.420033,-3.6760323,Madrid,rent,90,2,1,0
900,40.424324,-3.6769395,Madrid,rent,38,0,1,0
4175,40.453037,-3.6891937,Madrid,rent,280,4,1,0
1206,40.43222,-3.67422,Madrid,rent,30,1,0,0
1325,40.433296,-3.6778886,Madrid,rent,53,1,1,0
1800,40.4605,-3.685858,Madrid,rent,98,2,1,0
2600,40.419235,-3.6776106,Madrid,rent,121,2,1,0
1600,40.45306,-3.680837,Madrid,rent,72,1,1,0
2400,40.47481,-3.742572,Madrid,rent,210,4,1,0
1224,40.45879,-3.78123,Madrid,rent,52,2,0,0
3000,40.42818,-3.6936336,Madrid,rent,122,3,1,0
3400,40.446022,-3.6157956,Madrid,rent,286,5,1,0
950,40.427265,-3.7074885,Madrid,rent,55,1,0,0
1100,40.429962,-3.6494246,Madrid,rent,40,2,1,0
